COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Silver Lamprey,Great Lakes - Upper St. Lawrence populations,Special Concern,2020-11-04,Ichthyomyzon unicuspis,Silver Lamprey,Great Lakes - Upper St. Lawrence populations,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Ontario, Quebec",Fishes (freshwater),,Added to list
Silver Lamprey,Saskatchewan - Nelson River populations,Special Concern,2020-11-04,Ichthyomyzon unicuspis,Silver Lamprey,Saskatchewan - Nelson River populations,No Status,,No schedule,,"Manitoba, Ontario",Fishes (freshwater),Addition,Pending
Silver Lamprey,Southern Hudson Bay - James Bay populations,Data Deficient,2020-11-04,Ichthyomyzon unicuspis,,,No Status,,No schedule,,Manitoba,Fishes (freshwater),,
Silver Shiner,,Threatened,2011-05-06,Notropis photogenis,Silver Shiner,,Threatened,2019-08-08,Schedule 1,2019-08-08,Ontario,Fishes (freshwater),,Added to list
Silver-haired Bat,,Endangered,2023-05-05,Lasionycteris noctivagans,Silver-haired Bat,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),Addition,Pending
Skillet Clubtail,,Special Concern,2022-05-11,Gomphurus ventricosus,Skillet Clubtail,,Endangered,,Schedule 1,2017-06-02,"New Brunswick, Nova Scotia, Ontario, Quebec",Arthropods,Status change,Pending
Skinner's Agalinis,,Endangered,2010-11-26,Agalinis skinneriana,Skinner's Agalinis,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Slender Bush-clover,,Endangered,2013-05-03,Lespedeza virginica,Slender Bush-clover,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Slender Collomia,,Endangered,2003-11-01,Collomia tenella,Slender Collomia,,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,,Added to list
Slender Mouse-ear-cress,,Threatened,2022-12-03,Crucihimalaya virgata,Slender Mouse-ear-cress,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Vascular Plants,,Added to list
Slender Popcornflower,,Threatened,2008-11-28,Plagiobothrys tenellus,Slender Popcornflower,,Threatened,2011-02-04,Schedule 1,2011-02-04,British Columbia,Vascular Plants,,Added to list
Slender Woolly-heads,,Not at Risk,1996-04-01,Psilocarphus tenellus var. tenellus,,,No Status,,No schedule,,British Columbia,Vascular Plants,,
Slender Yoke-moss,,Endangered,2019-11-29,Zygodon gracilis,Slender Yoke-moss,,Endangered,2024-06-10,Schedule 1,2024-06-10,British Columbia,Mosses,,Added to list
Small White Lady's-slipper,,Threatened,2014-11-28,Cypripedium candidum,Small White Lady's-slipper,,Threatened,2019-02-25,Schedule 1,2003-06-05,"Manitoba, Ontario",Vascular Plants,,Downlisted: Endangered to threatened
Small Whorled Pogonia,,Endangered,2011-05-06,Isotria medeoloides,Small Whorled Pogonia,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Small-flowered Lipocarpha,,Endangered,2002-11-01,Lipocarpha micrantha,Small-flowered Lipocarpha,,Endangered,2005-01-12,Schedule 1,2005-01-12,"British Columbia, Ontario",Vascular Plants,,Added to list
Small-flowered Sand-verbena,,Special Concern,2022-12-03,Tripterocalyx micranthus,Small-flowered Sand-verbena,,Endangered,,Schedule 1,2005-01-12,"Alberta, Saskatchewan",Vascular Plants,Status change,Pending
Small-flowered Tonella,,Endangered,2003-11-01,Tonella tenella,Small-flowered Tonella,,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,,Added to list
Small-mouthed Salamander,,Endangered,2014-05-02,Ambystoma texanum,Small-mouthed Salamander,,Endangered,2005-07-14,Schedule 1,2005-07-14,Ontario,Amphibians,,Added to list
Smoker’s Lung Lichen,,Threatened,2018-04-27,Lobaria retigera,Smoker’s Lung Lichen,,Threatened,2023-02-03,Schedule 1,2023-02-03,British Columbia,Lichens,,Added to list
Smooth Goosefoot,,Threatened,2006-04-29,Chenopodium subglabrum,Smooth Goosefoot,,Threatened,2007-12-13,Schedule 1,2007-12-13,"Alberta, Manitoba, Saskatchewan",Vascular Plants,,Added to list
Smooth Skate,Funk Island Deep population,Endangered,2012-05-04,Malacoraja senta,Smooth Skate,Funk Island Deep population,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),Addition,Pending
Smooth Skate,Hopedale Channel population,Data Deficient,2012-05-04,Malacoraja senta,,,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),,
Smooth Skate,Laurentian-Scotian population,Special Concern,2012-05-04,Malacoraja senta,Smooth Skate,Laurentian-Scotian population,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending
Smooth Skate,Nose of the Grand Bank population,Data Deficient,2012-05-04,Malacoraja senta,,,No Status,,No schedule,,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),,
Smooth Yellow False Foxglove,,Threatened,2018-04-27,Aureolaria flava,Smooth Yellow False Foxglove,,Threatened,2023-02-03,Schedule 1,2023-02-03,Ontario,Vascular Plants,,Added to list
Snapping Turtle,,Special Concern,2008-11-28,Chelydra serpentina,Snapping Turtle,,Special Concern,2011-02-04,Schedule 1,2011-02-04,"Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan",Reptiles,,Added to list
Snowy Owl,,Not at Risk,1995-04-01,Bubo scandiaca,,,No Status,,No schedule,,"Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Quebec, Yukon",Birds,,
Snuffbox,,Endangered,2011-11-25,Epioblasma triquetra,Snuffbox,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Molluscs,,Added to list
Soapweed,,Threatened,2013-05-03,Yucca glauca,Soapweed,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Vascular Plants,,Added to list
Sockeye Salmon,Adams-ES population (original),Extinct,2021-12-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Alouette-ES population (original),Special Concern,2021-12-01,Oncorhynchus nerka,Sockeye Salmon,Alouette-ES population (original),No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Anderson-Seton-ES population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Bowron-ES population,Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Bowron-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Chilko-ES population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Chilko-S population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Chilliwack-ES population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Coquitlam-ES population (original),Special Concern,2021-12-01,Oncorhynchus nerka,Sockeye Salmon,Coquitlam-ES population (original),No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Cultus-L population,Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Cultus-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Francois-Fraser-S population,Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Francois-Fraser-S population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Fraser-ES population (original),Endangered,2021-12-01,Oncorhynchus nerka,Sockeye Salmon,Fraser-ES population (original),No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Harrison (D/S)-L population,Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Harrison (D/S)-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Harrison (U/S)-L population,Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Harrison (U/S)-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Harrison River (River-Type) population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Kamloops-ES population,Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Kamloops-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Lillooet-Harrison-L population,Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Lillooet-Harrison-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Momich-ES population (original),Endangered,2021-12-01,Oncorhynchus nerka,Sockeye Salmon,Momich-ES population (original),No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Nadina-Francois-ES population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Nahatlatch-ES population,Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Nahatlatch-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,North Barriere-ES population,Threatened,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,North Barriere-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,North Barriere-ES population (original),Extinct,2021-12-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Pitt-ES population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Quesnel-S population,Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Quesnel-S population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Sakinaw population,Endangered,2016-04-29,Oncorhynchus nerka,Sockeye Salmon,Sakinaw population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Seton-L population,Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Seton-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Seton-S population (original),Extinct,2021-12-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Shuswap Complex-L population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Shuswap-ES population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
